"DateTime";"Alpi3_GlobalPower";"Alpi4_GlobalPower";"Alpi5_GlobalPower";"Alpi6_GlobalPower";"Alpi7_GlobalPower";"Alpi8_GlobalPower";"Alpi1_GlobalPower";"Alpi2_GlobalPower"
"2021-11-08 00:00:00";0;0;0;0;0;0;0;0
"2021-11-08 00:05:00";0;0;0;0;0;0;0;0
"2021-11-08 00:10:00";0;0;0;0;0;0;0;0
"2021-11-08 00:15:00";0;0;0;0;0;0;0;0
"2021-11-08 00:20:00";0;0;0;0;0;0;0;0
"2021-11-08 00:25:00";0;0;0;0;0;0;0;0
"2021-11-08 00:30:00";0;0;0;0;0;0;0;0
"2021-11-08 00:35:00";0;0;0;0;0;0;0;0
"2021-11-08 00:40:00";0;0;0;0;0;0;0;0
"2021-11-08 00:45:00";0;0;0;0;0;0;0;0
"2021-11-08 00:50:00";0;0;0;0;0;0;0;0
"2021-11-08 00:55:00";0;0;0;0;0;0;0;0
"2021-11-08 01:00:00";0;0;0;0;0;0;0;0
"2021-11-08 01:05:00";0;0;0;0;0;0;0;0
"2021-11-08 01:10:00";0;0;0;0;0;0;0;0
"2021-11-08 01:15:00";0;0;0;0;0;0;0;0
"2021-11-08 01:20:00";0;0;0;0;0;0;0;0
"2021-11-08 01:25:00";0;0;0;0;0;0;0;0
"2021-11-08 01:30:00";0;0;0;0;0;0;0;0
"2021-11-08 01:35:00";0;0;0;0;0;0;0;0
"2021-11-08 01:40:00";0;0;0;0;0;0;0;0
"2021-11-08 01:45:00";0;0;0;0;0;0;0;0
"2021-11-08 01:50:00";0;0;0;0;0;0;0;0
"2021-11-08 01:55:00";0;0;0;0;0;0;0;0
"2021-11-08 02:00:00";0;0;0;0;0;0;0;0
"2021-11-08 02:05:00";0;0;0;0;0;0;0;0
"2021-11-08 02:10:00";0;0;0;0;0;0;0;0
"2021-11-08 02:15:00";0;0;0;0;0;0;0;0
"2021-11-08 02:20:00";0;0;0;0;0;0;0;0
"2021-11-08 02:25:00";0;0;0;0;0;0;0;0
"2021-11-08 02:30:00";0;0;0;0;0;0;0;0
"2021-11-08 02:35:00";0;0;0;0;0;0;0;0
"2021-11-08 02:40:00";0;0;0;0;0;0;0;0
"2021-11-08 02:45:00";0;0;0;0;0;0;0;0
"2021-11-08 02:50:00";0;0;0;0;0;0;0;0
"2021-11-08 02:55:00";0;0;0;0;0;0;0;0
"2021-11-08 03:00:00";0;0;0;0;0;0;0;0
"2021-11-08 03:05:00";0;0;0;0;0;0;0;0
"2021-11-08 03:10:00";0;0;0;0;0;0;0;0
"2021-11-08 03:15:00";0;0;0;0;0;0;0;0
"2021-11-08 03:20:00";0;0;0;0;0;0;0;0
"2021-11-08 03:25:00";0;0;0;0;0;0;0;0
"2021-11-08 03:30:00";0;0;0;0;0;0;0;0
"2021-11-08 03:35:00";0;0;0;0;0;0;44;0
"2021-11-08 03:40:00";0;0;0;0;0;0;50,88;0
"2021-11-08 03:45:00";0;0;0;0;0;0;26,78;0
"2021-11-08 03:50:00";0;0;0;0;0;0;0;0
"2021-11-08 03:55:00";0;0;0;0;0;0;0;0
"2021-11-08 04:00:00";0;0;0;0;0;0;0;0
"2021-11-08 04:05:00";0;0;0;0;0;0;0;0
"2021-11-08 04:10:00";0;0;0;0;0;0;0;0
"2021-11-08 04:15:00";0;0;0;0;0;0;0;0
"2021-11-08 04:20:00";0;0;0;0;0;0;0;0
"2021-11-08 04:25:00";0;0;0;0;0;0;0;0
"2021-11-08 04:30:00";0;0;0;0;0;0;0;0
"2021-11-08 04:35:00";0;0;0;0;0;0;0;0
"2021-11-08 04:40:00";0;0;0;0;0;0;0;0
"2021-11-08 04:45:00";0;0;0;0;0;0;0;0
"2021-11-08 04:50:00";0;0;0;0;0;0;0;0
"2021-11-08 04:55:00";0;0;0;0;0;0;0;0
"2021-11-08 05:00:00";0;0;0;0;0;0;0;0
"2021-11-08 05:05:00";0;0;0;0;0;0;0;0
"2021-11-08 05:10:00";0;0;0;0;0;0;0;0
"2021-11-08 05:15:00";0;0;0;0;0;0;0;0
"2021-11-08 05:20:00";0;0;0;0;0;0;0;0
"2021-11-08 05:25:00";0;0;0;0;0;0;0;0
"2021-11-08 05:30:00";0;0;0;0;0;0;0;0
"2021-11-08 05:35:00";0;0;0;0;0;0;0;0
"2021-11-08 05:40:00";0;0;0;0;0;0;0;0
"2021-11-08 05:45:00";0;0;0;0;0;0;0;0
"2021-11-08 05:50:00";0;0;0;0;0;0;0;0
"2021-11-08 05:55:00";0;0;0;0;0;0;0;0
"2021-11-08 06:00:00";0;0;0;0;0;0;0;0
"2021-11-08 06:05:00";0;0;0;0;0;0;0;0
"2021-11-08 06:10:00";0;0;0;0;0;0;0;0
"2021-11-08 06:15:00";0;0;0;0;0;0;0;0
"2021-11-08 06:20:00";0;0;0;0;0;0;0;0
"2021-11-08 06:25:00";0;0;0;0;0;0;0;0
"2021-11-08 06:30:00";0;0;0;0;0;0;0;0
"2021-11-08 06:35:00";0;0;0;0;0;0;0;0
"2021-11-08 06:40:00";0;0;0;0;0;0;0;0
"2021-11-08 06:45:00";0;0;0;0;0;0;0;0
"2021-11-08 06:50:00";0;0;0;0;0;0;0;0
"2021-11-08 06:55:00";0;0;0;0;0;0;0;0
"2021-11-08 07:00:00";0;0;0;0;0;0;0;0
"2021-11-08 07:05:00";0;0;0;0;0;0;0;0
"2021-11-08 07:10:00";0;0;0;0;0;0;0;0
"2021-11-08 07:15:00";0;0;0;0;0;0;0;0
"2021-11-08 07:20:00";0;0;0;0;0;0;0;0
"2021-11-08 07:25:00";0;0;0;0;0;0;0;0
"2021-11-08 07:30:00";0;0;0;0;0;0;0;0
"2021-11-08 07:35:00";0;0;0;0;0;0;0;0
"2021-11-08 07:40:00";0;0;0;0;0;0;0;0
"2021-11-08 07:45:00";0;0;0;0;0;0;43,13;0
"2021-11-08 07:50:00";0;0;0;0;0;0;52,3;0
"2021-11-08 07:55:00";0;0;0;0;0;0;0;0
"2021-11-08 08:00:00";0;0;0;0;0;0;0;0
"2021-11-08 08:05:00";0;0;0;0;0;0;0;0
"2021-11-08 08:10:00";0;0;0;0;0;0;0;0
"2021-11-08 08:15:00";0;0;0;0;0;0;0;0
"2021-11-08 08:20:00";0;0;0;0;0;0;0;0
"2021-11-08 08:25:00";0;0;0;0;0;0;0;0
"2021-11-08 08:30:00";0;0;0;0;0;0;0;0
"2021-11-08 08:35:00";0;0;0;0;0;0;0;0
"2021-11-08 08:40:00";0;0;0;0;0;0;0;0
"2021-11-08 08:45:00";0;0;0;0;0;0;0;0
"2021-11-08 08:50:00";0;0;0;0;0;0;0;0
"2021-11-08 08:55:00";0;0;0;0;0;0;0;0
"2021-11-08 09:00:00";0;0;0;0;0;0;0;0
"2021-11-08 09:05:00";0;0;0;0;0;0;56,72;0
"2021-11-08 09:10:00";0;0;0;0;0;0;64,05;0
"2021-11-08 09:15:00";0;0;0;0;0;0;15,78;0
"2021-11-08 09:20:00";0;0;0;0;0;0;0;0
"2021-11-08 09:25:00";0;0;0;0;0;0;0;0
"2021-11-08 09:30:00";0;0;0;0;0;0;0;0
"2021-11-08 09:35:00";0;0;0;0;0;0;0;0
"2021-11-08 09:40:00";0;0;0;0;0;0;0;0
"2021-11-08 09:45:00";0;0;0;0;0;0;0;0
"2021-11-08 09:50:00";0;0;0;0;0;0;0;0
"2021-11-08 09:55:00";0;0;0;0;0;0;0;0
"2021-11-08 10:00:00";0;0;0;0;0;0;0;0
"2021-11-08 10:05:00";0;0;0;0;0;0;0;0
"2021-11-08 10:10:00";0;0;0;0;0;0;25;0
"2021-11-08 10:15:00";0;0;0;0;0;0;73,36;0
"2021-11-08 10:20:00";0;0;0;0;0;0;71,62;0
"2021-11-08 10:25:00";0;0;0;0;0;0;25,97;0
"2021-11-08 10:30:00";0;0;0;0;0;0;0;0
"2021-11-08 10:35:00";0;0;0;0;0;0;0;0
"2021-11-08 10:40:00";0;19,79;0;0;0;0;0;0
"2021-11-08 10:45:00";0;79,24;0;0;0;0;0;0
"2021-11-08 10:50:00";0;88,67;0;0;0;0;0;0
"2021-11-08 10:55:00";0;88,49;0;0;0;0;0;0
"2021-11-08 11:00:00";0;85,56;0;0;0;0;0;0
"2021-11-08 11:05:00";0;69,94;0;0;0;0;0;0
"2021-11-08 11:10:00";0;34,54;0;0;0;0;0;0
"2021-11-08 11:15:00";0;4,9;0;0;0;0;0;0
"2021-11-08 11:20:00";0;1,99;0;0;0;0;0;0
"2021-11-08 11:25:00";0;0;0;0;0;0;0;0
"2021-11-08 11:30:00";0;0;0;0;0;0;0;0
"2021-11-08 11:35:00";0;0;0;0;0;0;0;0
"2021-11-08 11:40:00";0;0;0;0;0;0;0;0
"2021-11-08 11:45:00";0;0;0;0;0;0;0;0
"2021-11-08 11:50:00";0;49,65;0;0;0;0;0;0
"2021-11-08 11:55:00";0;42,22;0;0;0;0;0;0
"2021-11-08 12:00:00";0;39,37;0;0;0;0;0;0
"2021-11-08 12:05:00";0;46,48;0;0;0;0;0;0
"2021-11-08 12:10:00";0;75,07;0;0;0;0;0;0
"2021-11-08 12:15:00";0;74,94;0;0;0;0;0;13,57
"2021-11-08 12:20:00";0;12,68;0;0;0;0;0;39,94
"2021-11-08 12:25:00";0;0;0;0;0;0;0;140,86
"2021-11-08 12:30:00";0;0;0;0;0;0;0;133,66
"2021-11-08 12:35:00";0;0;0;0;0;0;0;130,38
"2021-11-08 12:40:00";0;0;0;0;0;0;7,3;130,95
"2021-11-08 12:45:00";0;0;0;0;0;0;23,59;109,63
"2021-11-08 12:50:00";0;0;0;0;0;0;23,69;18,55
"2021-11-08 12:55:00";0;0;0;0;0;0;18,65;0
"2021-11-08 13:00:00";0;0;0;0;0;0;0;0
"2021-11-08 13:05:00";0;0;0;0;0;0;0;0
"2021-11-08 13:10:00";0;0;0;0;0;0;0;0
"2021-11-08 13:15:00";0;0;0;0;0;0;0;0
"2021-11-08 13:20:00";0;0;0;0;0;0;0;0
"2021-11-08 13:25:00";0;0;0;0;0;0;0;0
"2021-11-08 13:30:00";0;0;0;0;0;0;0;0
"2021-11-08 13:35:00";0;0;0;0;0;0;0;0
"2021-11-08 13:40:00";0;0;0;0;0;0;0;0
"2021-11-08 13:45:00";0;0;0;0;0;0;0;0
"2021-11-08 13:50:00";0;0;0;0;0;0;0;0
"2021-11-08 13:55:00";0;0;0;0;0;0;0;0
"2021-11-08 14:00:00";0;0;0;0;0;0;0;0
"2021-11-08 14:05:00";0;0;0;0;0;0;0;0
"2021-11-08 14:10:00";0;0;0;0;0;0;0;0
"2021-11-08 14:15:00";0;0;0;0;0;0;0;0
"2021-11-08 14:20:00";0;0;0;0;0;0;0;0
"2021-11-08 14:25:00";0;0;0;0;0;0;0;0
"2021-11-08 14:30:00";0;0;0;0;0;0;0;0
